路径,长度,危险系数
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,12.826,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,10.441,21.202
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,9.151,18.638
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 大雁塔,9.082,13.770
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,15.793,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 大雁塔,15.362,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,15.834,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,15.745,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.552,20.495
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,18.853,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 陕西师范大学-> 大雁塔,17.661,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,18.133,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 大雁塔,15.748,21.983
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,15.317,19.420
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 大雁塔,15.989,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 大雁塔,15.558,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,14.138,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 大雁塔,13.706,20.432
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,14.178,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,14.089,22.463
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,12.897,19.899
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,18.146,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,16.954,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.294,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 大雁塔,15.102,20.432
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,15.574,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,13.190,21.388
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,12.758,18.824
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 大雁塔,18.051,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 小寨村小区-> 大雁塔,16.199,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,15.390,22.463
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,17.290,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 陕西师范大学-> 大雁塔,15.439,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,13.095,21.388
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,13.006,20.855
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 大雁塔,16.491,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,16.059,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,13.932,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,13.500,20.432
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,13.837,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,13.748,22.463
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,15.588,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.156,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,15.493,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.404,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,17.805,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 大雁塔,14.513,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 大雁塔,14.082,20.842
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.953,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,18.512,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,12.662,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 小寨村小区-> 大雁塔,12.230,20.246
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,18.552,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.994,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,12.702,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 大雁塔,12.613,22.277
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,11.421,19.713
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,15.790,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.598,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,14.134,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,12.942,20.432
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,15.435,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,13.051,21.388
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.693,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,15.501,21.028
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,17.994,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.610,21.983
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.851,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,14.716,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,13.523,20.842
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,13.999,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,15.655,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,12.864,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 陕西师范大学-> 大雁塔,11.672,20.246
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.935,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,13.279,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,12.144,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,9.760,21.202
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,9.328,18.638
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 小寨村小区-> 大雁塔,15.598,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.788,23.059
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 陕西师范大学-> 大雁塔,17.897,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,15.553,21.984
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 大雁塔,15.794,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 大雁塔,13.942,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,13.133,22.463
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,17.190,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西师范大学-> 大雁塔,15.338,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,12.994,21.388
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,16.636,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,14.077,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.733,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 紫薇永和坊-> 小寨村小区-> 大雁塔,14.659,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 小寨村小区-> 大雁塔,12.807,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,11.998,22.277
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.972,23.592
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,13.317,22.996
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,15.875,23.591
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,13.898,23.405
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 陕西师范大学-> 大雁塔,12.046,22.810
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,9.703,21.202
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,9.613,20.669
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西历史博物馆-> 大雁塔,8.323,18.105
西安交通大学（曲江校区）-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 大雁塔,6.788,13.237
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大雁塔,10.452,9.314
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,17.953,24.060
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 赛格购物中心-> 大雁塔,17.941,19.192
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,18.869,24.060
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,17.578,21.496
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 小寨村小区-> 大雁塔,17.510,16.629
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,18.050,24.060
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,17.982,19.192
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,18.910,24.060
西安交通大学（曲江校区）-> 三兆公墓-> 杜邑遗址公园-> 曲江立交交汇点-> 西安市曲江第一学校-> 大唐芙蓉园-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,17.904,23.527
